"","SRR24302636","SRR24302631","SRR24302634","SRR24302641","SRR24302632","SRR24302643","SRR24302642","SRR24302639","SRR24302635","SRR24302640","SRR24302633"
"TADA1",15.4958721543853,14.3835094384096,16.8964162378725,14.3618283192212,14.0052947787743,13.7525571604714,14.1200056626887,13.5340227525108,14.584731509266,11.4845396397673,18.959575902929
"FAM76B",12.3721983208926,7.6964392609034,12.9650718656943,11.7918169357817,11.248346987677,11.2126704776817,11.9184994034523,7.57408612755193,9.39088827395185,9.81498101372183,15.0785888892422
"SH3BP5",3.06242532695362,4.54216087528725,1.5892668738593,3.32589708445124,3.74944899589234,5.38951564396854,2.96064634862827,3.35246435153938,3.56748828284204,7.53831016002347,1.71781392409088
"MRGPRF",3.00117682041455,3.34353508875312,2.59301437313885,3.47707422465356,3.36347630513872,3.03547432821217,2.04967824135804,4.1595391028359,2.78054233809747,7.18416136055928,7.50748307565643
"ASPSCR1",12.4334468274317,11.7970011622044,12.5468437409945,13.0012340574003,10.8623742969234,14.2481448058938,14.8791457520806,11.3611291913279,14.0076378164533,8.85371998660474,16.0329299581815
"TUFT1",10.167252085486,10.346033104821,13.2160087405142,12.3209369264898,9.86987309212837,8.23914460514731,8.50236900118889,12.2302866158011,12.696061241879,9.20786878606893,8.33457866873723
"TBC1D22B",11.5147192293456,12.8063702456016,9.45195561821582,11.7918169357817,8.54653815240166,10.5312374652259,7.74322891179703,11.2369638449746,10.2302972816794,9.51142489989538,7.57110581358573
"NFKBIZ",4.16489844465692,5.42535882325977,5.60425687097752,8.39033128122925,3.74944899589234,10.7790312879371,8.19871296543215,6.89117672260873,3.93472972372284,7.0829759892838,8.65269235838369
"RSPH3",5.3286200688993,9.65209185998541,6.94258687001693,5.97149703799199,6.28584096370187,5.14172182125734,6.90817481346597,9.37448364967493,8.65640539219025,7.58890284566121,4.96257355848476
"OGFOD2",13.1684289059006,9.96751969854703,11.292159366895,8.16356557092576,10.6969574294576,8.5488868835363,12.601725483905,9.37448364967493,10.5450756595772,10.1185371275483,13.1699067513634
"FHL3",6.98232974545425,6.43472790665694,4.01498999711823,9.1462169822409,7.16806425685301,6.00900020074653,6.45269075983085,10.3057237473248,7.292365754633,8.65134924405378,7.82559676530289
"NRTN",9.37102150047808,6.3085567712323,6.1061306206173,4.00619421536172,3.03264257020704,5.88510328939093,4.47892652741201,4.34578712236586,4.66921260548444,5.71697347706478,9.54341068939377
"ACCS",3.73615889888342,3.34353508875312,3.68040749735837,3.32589708445124,2.1504192770559,6.69043321320232,3.41613040226339,4.03537375648259,1.99359639335291,7.69008821693669,4.96257355848476
"LOC148413",10.6572401377986,9.14740731828683,9.70289249303571,10.3556341038595,9.48390040137475,11.0268251106483,11.5389293587564,11.1127984986213,12.3288198009982,11.3327615828541,11.770206516919
"APCDD1L",2.4499402615629,5.36227325554745,5.93883937073737,4.83766848647452,1.65416867465839,2.66378359414537,3.56795842014177,3.84912573695262,6.71527206182031,6.83001256109509,2.67215499303026
"TMEM42",10.7184886443377,7.63335369319108,11.7103874915948,11.2626969450735,10.8072353411015,7.80550541540271,10.2483912067902,7.13950741531535,8.76133151815619,8.49957118714056,14.6968524616664
"SLAIN1",8.69728792854828,5.4884443909721,11.8776787414747,10.2800455337584,6.50639678698965,5.07977336557954,10.8557032783037,9.31240097649828,7.60714413253083,4.70511976430995,13.0426612755048
"PTCD2",17.5170728701747,16.0868197666424,17.9001637371521,17.6877254036725,17.7547437746667,16.8499799443614,18.9025882258574,17.8798098748767,16.368475650687,15.7343252333376,15.6511935306058
"PIK3CG",3.61366188580527,3.21736395332847,3.42947062253848,2.64559995354076,5.8447293171263,3.84080425202356,5.54172265256062,5.52535791272231,4.14458197565473,8.14542238767637,4.38996891712114
"KIAA1107",4.77738351004765,6.8763268806432,5.77154812085745,5.21561133698035,7.66431485925052,9.29226835166989,6.83226080452679,6.58076335672545,6.82019818778626,8.90431267224249,5.78966915156555
"DPH6",19.6607705990422,14.6989372769713,21.6642168594504,18.9727310953923,16.9827983931594,15.3632170080942,17.7638780917696,15.6448336405171,14.7421206982149,11.7880957535937,20.6137670890905
"DDX51",12.8621863732052,15.5821352249438,13.634236865214,14.1350626089178,10.4764016061698,15.115423185383,15.4105438146549,14.403180176984,12.696061241879,14.4189154067563,15.5875707926765
"RIPK2",13.8421624778304,8.5165516411636,9.20101874339593,10.8091655244665,10.3661236945259,9.1683714403143,10.7797892693645,10.9265504790913,8.65640539219025,10.9786127833899,10.1160153307574
"PEX16",10.6572401377986,10.7245465110949,12.1286156162946,9.67533697294905,10.4212626503478,9.1683714403143,10.4002192246686,10.3678064205014,11.3844846673048,12.0410591817825,13.1699067513634
"DNAJC1",15.1283811151509,13.6264826258618,17.4819356124523,13.6815311883108,15.2183518068572,16.4163407546168,16.5492539487427,13.0373613670976,13.0108396197769,15.0766203200469,16.7327800754037
"C7orf25",16.2921027393933,13.3110547873001,14.8889212393134,15.4200683006375,11.5240417667868,14.7437324513162,12.3739834570874,14.7756762160439,14.8470468241809,11.0292054690276,14.7604751995957
"CDK8",8.26854838277477,11.0399743496565,8.69914499375616,6.95414844930713,8.43626024075777,6.87627858023572,5.92129269725655,8.81573959108504,9.18103602201996,9.10668341479345,7.95284224116148
"CMPK2",7.41106929122776,4.6683320107119,8.53185374387623,8.54150842143158,10.4212626503478,6.07094865642433,7.51548688497947,9.74697968873486,8.55147926622431,7.74068090257443,9.22529699974731
"ZNF805",14.5158960497602,8.70580834430057,14.0524649899138,11.489462655377,9.70445622466253,11.7082581231041,11.1593593140604,7.38783810802197,9.70566665184967,7.28534673183476,13.6788886547977
"CHL1",2.26619474194568,2.39725157306827,2.76030562301878,2.64559995354076,5.29333975890684,3.09742278388997,11.2352733229996,3.22829900518607,2.25591170826776,2.934375766989,2.3540413033838
"TFPI2",9.43227000701715,2.83885054705453,3.17853374771859,6.87855987920596,4.74195020068737,2.53988668278977,5.69355067043899,6.08410197131221,2.99039459002936,5.81815884834026,5.53517819984839
"ACSL5",10.1060035789469,14.8251084123959,10.6229943673753,13.3791769079061,11.8548755017184,12.2038457685265,13.436779582236,12.9752786939209,10.8073909744921,12.8505421519863,13.6788886547977
"TC2N",1.71495818309403,1.70331032823272,0.752810624459667,1.43618283192212,7.00264738938717,3.28326815092336,3.18838837544583,0.993322770826483,3.20024684196124,3.99682216538157,4.6444598688383
"LOC100294145",8.26854838277477,7.31792585462946,11.7103874915948,6.34943988849781,8.60167710822361,9.72590754141449,6.60451877770923,9.49864899602824,10.1253711557134,9.46083221425764,9.09805152388873
"HMHA1",6.00235364082909,5.86695779724604,3.09488812277863,4.15737135556404,4.08028273082402,5.01782490990174,4.40301251847282,4.84244850777911,7.86945944744568,7.38653210311024,5.4079327239898
"UTP14A",14.5771445562992,12.6171135424646,16.1436056134129,13.2279997677038,14.1707116462402,14.0003509831826,15.7141998504116,12.789030674391,12.0665044860834,14.874249577496,11.5793383031311
"CLN3",8.32979688931385,9.84134856312238,8.53185374387623,7.71003415031877,9.75959518048448,10.9648766549705,9.33742309951994,8.75365691790838,9.81059277781562,10.2703151844615,11.6429610410604
"ZNF818P",5.45111708197744,3.46970622417776,12.4631981160545,5.36678847718268,4.57653333322154,8.30109306082511,11.3111873319388,3.35246435153938,6.29556755795655,6.27349301907993,6.61676474464635
"ZNF44",9.18727598086086,9.02123618286218,7.52810624459667,4.98884562667685,8.32598232911388,10.2214951868369,7.43957287604028,7.01534206896204,8.60394232920728,8.75253461532926,8.08008771702006
"DGKE",6.67608721275889,4.47907530757493,5.85519374579741,6.42502845859898,7.66431485925052,11.0268251106483,11.9184994034523,7.7603341470819,5.71847386514386,7.18416136055928,8.65269235838369
"RRNAD1",11.820961762041,10.9138032142319,13.1323631155742,14.4374168893224,15.1632128510352,13.3189179707269,12.9812955286009,13.6581880988641,12.748524304862,10.8268347264767,14.7604751995957
"EXOSC6",11.3309737097284,6.8763268806432,11.0412224920751,7.40767986991412,7.05778634520912,7.18602085862472,6.7563467955876,4.22162177601255,8.86625764412213,5.96993690525349,9.92514711696952
"CCDC22",15.7408661805416,15.2667073863822,13.2996543654541,16.2515425717504,13.0127935739793,16.4782892102946,15.5623718325332,13.0373613670976,13.6928594385555,14.0647666072921,16.351043647828
"SCD5",4.40989247081321,2.77576497934221,3.8476987472383,4.91325705657569,2.70180883527536,4.95587645422394,8.04688494755377,2.91788563930279,4.24950810162067,6.52645644726864,9.2889197376766
"CIITA",2.8786798073364,5.29918768783513,2.00749499855911,2.94795423394541,6.61667469863355,5.20367027693514,5.31398062574306,5.52535791272231,3.20024684196124,7.23475404619702,5.98053736535343
"C1QTNF2",2.32744324848475,7.57026812547875,1.92384937361915,4.91325705657569,5.29333975890684,4.33639189744595,5.54172265256062,6.08410197131221,4.30197116460364,7.28534673183476,6.68038748257564
"TPST1",5.69611110813373,4.16364746901332,4.01498999711823,5.29119990708151,7.94000963836026,4.21249498609035,5.6176366614998,4.59411781507248,6.50541980988843,7.89245895948766,5.53517819984839
"ZNF175",8.81978494162643,7.63335369319108,9.36830999327586,6.34943988849781,8.05028755000415,11.2746189333595,8.57828301012808,9.001987610615,7.44975494358191,9.61261027117087,5.21706451020193
"SIAH1",9.67726403317344,4.47907530757493,12.7141349908744,7.78562272041994,7.49889799178468,8.6108353392141,8.19871296543215,6.02201929813555,7.292365754633,6.52645644726864,12.7245475858584
"OCIAD2",8.26854838277477,6.056214500383,7.94633436929649,12.9256454872991,8.43626024075777,4.33639189744595,11.7666713855739,9.001987610615,4.5642864795185,5.05926856377414,9.98876985489881
"ATAD3A",9.309772993939,10.6614609433826,9.87018374291564,9.29739412244323,11.5240417667868,9.60201063005889,11.007531296182,10.0573930546181,11.9091152971345,10.3209078700992,11.5157155652018
"SOWAHC",5.02237753620394,4.92067428156119,4.18228124699815,7.55885701011644,3.91486586335818,6.50458784616893,9.0337670637632,8.00866483978852,4.93152792039929,9.20786878606893,6.2350283170706
"ERCC6",9.49351851355622,12.6171135424646,13.3832999903941,9.44857126264556,10.8072353411015,14.495938628605,11.5389293587564,9.99531038144148,9.54827746290076,12.0410591817825,11.4520928272725
"GSAP",12.6171923470489,10.4722042402456,11.6267418666549,10.8847540945677,8.54653815240166,8.23914460514731,7.21183084922272,9.43656632285159,5.35123242426306,5.41341736323833,11.9610747307069
"MRGBP",15.0671326086118,15.0143651155329,12.7141349908744,17.2341939830655,14.4464064253499,13.6906087047936,12.8294675107225,15.6448336405171,12.3288198009982,12.1422445530579,15.905684482323
"MORN2",15.8633631936197,9.21049288599915,19.9076587357112,13.9082968986143,9.98015100377227,11.0887735663261,13.8163496269319,11.7957079035645,11.8041891711685,7.74068090257443,11.0703563996968
"SLC27A3",9.12602747432179,7.19175471920482,7.36081499471675,8.9194512719374,8.21570441746999,7.92940232675831,9.0337670637632,7.51200345437528,8.55147926622431,8.24660775895185,13.8697568685856
